Branch,Talker,Event,Content,Key,Part
0,Manager,,세계 최고의 유망주들을 만나본 소감은 어때?,,
0,Manager,ChangeFace,0,,
0,Manager,,뭐...? 뭔가 선수가 부족한 거 같다고?,,
0,Manager,,...그래 맞아#여기 있는 3명 말고는 1군에 근접한 선수들도#뛰어난 잠재력을 보이는 선수도 없어.,,
0,Manager,ChangeFace,3,,
0,Manager,,하지만 너무 걱정하지는 마#이런 걸 해결하라고 감독이 있는 거니까!,,
0,Manager,,자자 화이팅.,,
0,Manager,ChangeFace,0,,
0,,TalkerBack,,,
0,,,...,,
0,,PlaySE,Walk,,
0,,,(어디선가 들려오는 발소리가 이쪽으로 가까워지는 듯하다.),,
0,,FadeOut,1,,
0,,SetCutscene,MarilynAppear,,
0,,RemoveTalker,1,,
0,,SetTimer,1,,
0,Marilyn,AddTalker,0,,
0,Marzen,AddTalker,2,,
0,,FadeIn,1,,
0,,ChangeBGM,Marilyn,,
0,,StayPressKey,,,
0,Marilyn,,여기가 레이븐 팀 훈련장 맞나요?,,
0,,RemoveTalker,0,,
0,Marilyn,AddTalker,1,,
0,Manager,AddTalker,0,,
0,Manager,ChangeFace,1,,
0,,CutsceneEnd,,,
0,Manager,,이봐! 여기는 관계자 외 출입 금지야!,,
0,Manager,,우리 팀 유니폼을 입고 온 거 보니 팬인 거 같은데#여기에 함부로 들어오면 안 되니까 얼른 나가!,,
0,Marilyn,ChangeFace,1,,
0,Marilyn,,어머... 누군지는 잘 모르겠지만,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,저희 두 명은 지금부터 관계자가 될 거니 상관없죠?,,
0,Manager,ChangeFace,2,,
0,Manager,,그게 무슨..?,,
0,Marilyn,ChangeFace,0,,
0,Marilyn,,위대하신 저희 아버지께서 말씀하시길 힘든 자가 있으면 도와주라고 하였습니다.,,
0,Marilyn,,듣자 하니 이 팀은 자금난에 인력난이라 파산 위기라고 들었습니다.  ,,
0,Marilyn,,그래서 제가 친히 도와주러 왔습니다.,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,물론 감사 인사는 필요 없어요~,,
0,Manager,ChangeFace,4,,
0,Manager,,...,,
0,Manager,,거기 있는 아저씨#내가 지금 이해가 안 돼서 그런데 이게 무슨 상황인지 설명해!,,
0,Manager,,설명하지 못한다면 경찰을 부르겠어!,,
0,Marzen,,아가씨께서 이 팀이 위기라는 말을 듣고 도와주러 가자고 하셨습니다.,,
0,Manager,,그게 끝이야?#아저씨가 생각하기에는 이게 지금 상식적인 일이야?,,
0,Marzen,,올바른 일인지 아닌지에 관한 판단은 제가 아니라 아가씨께서 하십니다.,,
0,Manager,,와... 진짜,,
0,Manager,,그래서 거기 있는 아가씨#뭘 어떻게 도와주려고 하는데? 말해봐 ,,
0,Marilyn,,제가 친히 선수로 뛰어서 이 팀을 우승시키려고 합니다.,,
0,Marilyn,,자 보세요. 벌써 유니폼도 맞춰 놨습니다~#짠~ 잘 어울리죠?,,
0,Manager,ChangeFace,1,,
0,Manager,,자... 기각!#빨리 돌아가,,
0,Marilyn,ChangeFace,2,,
0,Marilyn,,어째서죠?,,
0,Manager,,얼마나 많은 사람들이 어릴 때부터 프로가 되기 위해서 달려오는지 알고 있어?,,
0,Marilyn,,몰라요!#그도 그럴게 저 스포츠는 이번이 처음인걸요.,,
0,Manager,ChangeFace,2,,
0,Manager,,?,,
0,Manager,,지금까지 이 분야에서 노력하지 않아 온 너가#지금 당장 프로무대에서 도움이 될 것 같아?,,
0,Marilyn,,네 그래요.#그도 그럴게 저 마법에는 천부적인 재능이 있거든요!,,
0,Manager,,...,,
0,Manager,ChangeFace,1,,
0,,PlaySE,Ring,,
0,Manager,,여보세요?#경찰 맞죠?,,
0,Marilyn,,잠깐만요...!#제가 무엇을 잘못했다고 경찰에 전화하려고 하시는 건가요?,,
0,Manager,,너가 지금 뭘 잘못하고 있는지 모르는 게 가장 큰 문제거든!,,
0,Marilyn,ChangeFace,1,,
0,Marilyn,,까탈스러우시네요..,,
0,Marilyn,,당신 인기 없죠?,,
0,Manager,,갑자기 그게 무슨?,,
0,Marilyn,,당신같이 까탈스러운 사람은 인기 없거든요!,,
0,Manager,ChangeFace,2,,
0,Manager,,무슨 근거로 여기서 그런 헛소리를 지껄이실까..? ,,
0,Marilyn,,그야 그럴 게 마르젠이 입단 테스트로 실력을 확인하고 팀에 넣을지 안 넣을지를 판단한다고 하는데,,
0,Marilyn,,당신은 지금 제 경력이 없다는 이유만으로 입단 테스트 같은 것도 안 하고 그냥 내보내려 하잖아요!,,
0,Marilyn,ChangeFace,2,,
0,Marilyn,,당신은 혹시 경력 있는 신입을 요구하는 타입의 사람이신가요?,,
0,Manager,ChangeFace,4,,
0,Manager,,너 지금 입단 테스트 기간도 아닌데 쳐들어와서 무슨 소리를 하는 거야!,,
0,Marilyn,,...,,
0,Manager,,...,,
0,Marilyn,ChangeFace,0,,
0,Marilyn,,어머 입단 테스트에도 기간이 있었나요?,,
0,Manager,ChangeFace,0,,
0,Manager,,하아... 그냥 가라#더 상대하기도 귀찮다..,,
0,Marilyn,,잠시만요#그럼 이번 한 번만 특례로 할 수는 없나요? ,,
0,Manager,,응 안돼 돌아가!,,
0,Marilyn,ChangeFace,2,,
0,Marilyn,,쳇 까탈스럽긴..#마르젠 준비해 온 그거 꺼내주세요!,,
0,Manager,,...?,,
0,Marzen,,여기 이 쪽에..,,
0,Manager,ChangeFace,4,,
0,Manager,,이봐 아저씨 지금 날 돈으로 매수하려는 거야...?,,
0,,TalkerBack,,,
0,,,(라고 하기엔 너무 많은 돈이었다.),,
0,Manager,ChangeFace,0,,
0,Manager,,(이 돈이면 구단 재정의 급한 불을 끄기에 알맞은 액수잖아...?),,
0,Manager,,너 정체가 뭐야...?,,
0,Manager,,어떻게 현 구단 재정을 꿰뚫어 본 거마냥 이런 금액의 돈을 준비한 거야? ,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,후훗#저로 말할 것 같으면 그 유명한 기업의 딸 마릴린이라고 합니다.,,
0,Marilyn,ChangeFace,0,,
0,Marilyn,,저희 쪽의 정보가 틀리지 않아서 다행이네요.,,
0,Marilyn,,이제 입단 테스트를 준비해 주실 수 있겠죠?,,
0,Manager,ChangeFace,1,,
0,Manager,,하지만 이 돈을 받으면 입단 테스트고 뭐고 합격시켜줘야 할 것 같은 기분이 드는걸? ,,
0,Marilyn,ChangeFace,1,,
0,Marilyn,,어머#이 돈이 필요 없으신가요?,,
0,Marilyn,ChangeFace,0,,
0,Marilyn,,1달 후 찾아올 고비를 넘기지 못하면 이 팀은 진짜 파산할지도 모르는데#그때 가서 이 돈이 없어도 아쉽지 않으시겠어요?,,
0,Marilyn,,그리고 제가 사려고 하는 것은 입단 테스트 기회지#팀에 있을 자리를 사려고 하는 건 아니랍니다.,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,현명하신 답변 기대할게요,,
0,Manager,ChangeFace,0,,
0,Manager,,...아 몰라!!#입단 테스트 자체는 보게 해줄게,,
0,Manager,,떨어진다 해도 원망하지 말라고!,,
0,Marilyn,,몰론이죠~,,
0,Manager,,저기 보이는 운동장 쪽에 가서 대기하고 있어.#금방 돌아올 테니까!,,
0,Marilyn,,알았어요.#기다리고 있을 테니 빨리 오셔야 해요!,,
0,,StopBGM,,,
0,,FadeOut,1,,
0,,RemoveTalker,1,,
0,,RemoveTalker,2,,
0,,RemoveTalker,0,,
0,Manager,AddTalker,1,,
0,,ChangeBGM,Opening,,
0,,SetTimer,0.5,,
0,,StartBGM,,,
0,,FadeIn,1,,
0,Manager,,넌 또 왜 가만히 서 있는 거야?,,
0,Manager,,얼른 입단 테스트 준비하러 가야지!,,
0,Manager,,시간 없으니까 꾸물대지 말고 빨리 날 따라와!,,
0,,PlaySE,Walk,,
0,,FadeOut,1,,
0,,GoHomeScene,,,end
,,,,,
0,,ChangeBackground,Training,,part2
0,,ChangeBGM,Opening,,
0,Marilyn,AddTalker,1,,
0,Manager,AddTalker,0,,
0,Marzen,AddTalker,2,,
0,Marilyn,ChangeFace,1,,
0,Marilyn,,드디어 오셨군요.#생각보다 오래 걸리셨네요.,,
0,Manager,ChangeFace,2,,
0,Manager,,갑작스럽게 준비하다 보니까 시간이 걸리는 건 어쩔 수 없잖아!,,
0,Manager,,아무튼 바로 시작 할 거니까 빨리 준비해!,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,제 실력을 제대로 보여줄 시간이군요!,,
0,,ChangeBGM,Battle,,
0,,GoNextBattleScene,,,end
,,,,,
0,,ChangeBackground,Training,,part3
0,,ChangeBGM,Opening,,
0,Marilyn,AddTalker,1,,
0,Manager,AddTalker,0,,
0,Marzen,AddTalker,2,,
0,Marilyn,ChangeFace,1,,
0,Manager,,자 이제 내가 왜 바로 돌아가라 했는지 알겠지?,,
0,Marilyn,,....,,
0,Marilyn,,이런 결과는 인정할 수 없어요...,,
0,Marilyn,ChangeFace,2,,
0,Marilyn,,인정할 수 없다고!,,
0,,PlaySE,Explosion,,
0,FFDE59,FadeOut,0.5,,
0,,SetCutscene,MarilynExplosion,,
0,,TalkerBack,,,
0,,FadeIn,0.5,,
0,,ChangeBGM,Marilyn,,
0,,StayPressKey,,,
0,,,(마릴린이 공을 던지자 엄청난 빛이 나왔고 공이 향한 위치에는 큰 웅덩이가 생겨있었다.),,
0,,CutsceneEnd,,,
0,Manager,,?,,
0,Marilyn,,...??!,,
0,Manager,ChangeFace,1,,
0,Manager,,아니...#지금 이게 무슨..?,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,그러니까 제가 말했었죠?#저 마법에는 천부적인 재능이 있다고요!,,
0,Marilyn,,이렇게 뛰어난 재능을 가진 저를 불합격시키면 나중에 아쉽지 않겠어요?,,
0,Marilyn,,나중에 땅을 치며 후회해도 모른다고요?,,
0,Manager,ChangeFace,2,,
0,Manager,,하지만 너 몸 쓰는 건 꽝 그 자체던데..?,,
0,Marilyn,,걱정하지 마세요#몸 쓰는 거는 마르젠이 잘해요.,,
0,Marilyn,,안 그런가요 마르젠?,,
0,Marzen,,그렇습니다.#몸 쓰는 거 하나는 자신 있습니다.,,
0,Marilyn,,우리 마르젠은 군인 출신이라 신체 능력이 대단하답니다.,,
0,Marilyn,ChangeFace,1,,
0,Marilyn,,스포츠는 팀플레이잖아요?,,
0,Marilyn,,제가 부족한 부분은 마르젠이 마르젠이 부족한 부분은 제가...#둘이서 함께라면 만 명의 적이 온다고 해도 두렵지 않습니다. ,,
0,Manager,,한 마디로 두 명이서 1인분이라는 거네,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,두 명이서 1인분이 아니라 둘이 모여 백만파워입니다!,,
0,Manager,,너희들 직접 상대해본 소감은 어땠어?#일로 와서 말해봐,,
0,,TalkerBack,,,
0,,RemoveTalker,0,,
0,,RemoveTalker,1,,
0,,RemoveTalker,2,,
0,Ria,AddTalker,0,,
0,Ray,AddTalker,1,,
0,Karl,AddTalker,2,,
0,Ray,,마법 자체에는 소질이 있다고 생각합니다.,,
0,Ria,,저는 잘 모르겠어요-!,,
0,Karl,,내 생각에는 빨간 머리 아가씨는 가공되지 않은 다이아몬드인 거 같고,,
0,,TalkerBack,,,
0,마릴린,,제 이름은 빨간 머리가 아니에요!#마릴린이란 아름다운 이름이 있으니 똑바로 이름으로 불러주세요!,,
0,Karl,ChangeFace,2,,
0,,SetTimer,0.5,,
0,Karl,ChangeFace,1,,
0,Karl,,미안해 마릴린#다음부터는 이름으로 불러 줄게.,,
0,Karl,ChangeFace,0,,
0,Karl,,암튼 저 덩치 큰 아저씨는 신체 능력이 뛰어났어#신체 능력만 놓고 보면 즉전감이라고 생각해.,,
0,,TalkerBack,,,
0,매니저,,(자... 이걸 어째야 할까...),,
0,Ray,,매니저님 지금 1군에 있는 선수 수도 부족하니 일단 넣고 보는 게 어떨까요?,,
0,Ria,ChangeFace,3,,
0,Ria,,레이 언니가 그렇게 생각하신다면 저도 합격시키는 게 좋다고 생각해요~,,
0,Karl,,나도 저 의견에 동의해,,
0,Karl,,마릴린의 다른 능력들이 살짝 부족하다 해도#저 정도의 마법 능력이면 변수를 창출하는 플레이를 해낼 수 있다고 생각해.,,
0,,RemoveTalker,0,,
0,,RemoveTalker,1,,
0,,RemoveTalker,2,,
0,Manager,AddTalker,0,,
0,Marilyn,AddTalker,1,,
0,Marzen,AddTalker,2,,
0,Marilyn,ChangeFace,3,,
0,Marilyn,,저 그럼 이제 합격한 거라 생각해도 될까요?,,
0,Manager,,아 그래 뭐!#합격인 셈으로 치자!,,
0,Manager,ChangeFace,2,,
0,Manager,,상식대로라면 이런 만화 같은 일#죽어도 안 일어나니까 행운에 감사하도록 해!,,
0,Marilyn,,행운이 아니고 실력이랍니다!,,
0,Marilyn,,그럼 매니저님 앞으로 잘 부탁드릴게요~,,
0,,PlaySE,Walk,,
0,,FadeOut,0.5,,
0,,ChangeBGM,Opening,,
0,,RemoveTalker,0,,
0,,RemoveTalker,1,,
0,,RemoveTalker,2,,
0,Manager,AddTalker,1,,
0,,FadeIn,0.5,,
0,Manager,ChangeFace,1,,
0,Manager,,뭐... 그래도 어찌저찌 경기에 필요한 머릿수는 다 모았으니 이걸 다행이라 해야 하나..,,
0,Manager,,우리도 이만 돌아가자.,,
0,Marilyn,ChangeUseableCharacter,true,,
0,Marzen,ChangeUseableCharacter,true,,
0,,GoHomeScene,,,end
