Branch,Talker,Event,Content,Key,Part
0,,ChangeBGM,Iris,,
0,,StartBGM,,,
0,Iris,,이야~#졌네! 졌어!,,
0,Iris,,격의 차이를 가르쳐준다고 했는데 역으로 당해버렸네!,,
0,Ray,,경기를 패배하시고도 어떻게 웃으실 수 있으신 건가요?,,
0,Iris,,그야 재밌는 경기를 즐긴 후니까 웃을 수 있지.,,
0,Ray,,마음 가짐이 가벼우시네요,,
0,Ray,,여기는 프로무대 그런 가벼운 마음가짐으로는 살아남기 힘들겁니다.,,
0,Iris,,가벼운게 아니야.,,
0,Iris,,언니는 단지 모든 시간을 즐기고 싶을 뿐이야.,,
0,Iris,,연장자로서 살짝 충고하자면 ,,
0,Iris,,너무 진지하게만 살면 세상이 재미없지 않겠어?,,
0,Iris,,그러니 가끔씩은 평소의 습관에서 벗어나 일탈을 즐겨보는 것도 나쁘지 않아!,,
0,Ray,,충고는 감사드립니다만 저는 현재 제 모습에 만족합니다.,,
0,Iris,,그래 그러면 네 생각이 그렇다면 어쩔 수 없지.,,
0,Iris,,다음에 만날 때는 꼭 이겨줄테니 명심하도록!,,
0,Iris,,그때는 좀 더 재밌는 경기가 펼쳐졌으면 좋겠네#네 본 모습과 함께 말이야!,,
0,,StopBGM,,,
0,,SetTalkWindowActiveFalse,,,
0,,FadeOut,0.5,,
0,,SetTimer,0.75,,
0,,RemoveTalker,0,,
0,,RemoveTalker,2,,
0,,FadeIn,0.5,,
0,,ChangeBGM,Doubt,,
0,,StartBGM,,,
0,Marzen,AddTalker,0,,
0,Marilyn,AddTalker,2,,
0,Marilyn,ChangeFace,2,,
0,Marilyn,,마르젠,,
0,Marzen,,네 아가씨.,,
0,Marilyn,,마르젠이 볼 때 저는 어떤 상태일 때 빛나나요?,,
0,Marzen,,저는 잘 모르겠습니다.,,
0,Marilyn,,얼벼부리지 말고 대답해주세요!,,
0,Marzen,,제 생각에는 분노 상태라고 생각합니다.,,
0,Marilyn,,그렇죠? 제 생각도 같아요.,,
0,Ria,AddTalker,0,,
0,Ria,,어라? 마릴린씨 마르젠씨 안녕하세요~#이런 곳에서 뭐하시나요?,,
0,Marilyn,ChangeFace,4,,
0,Marilyn,,어라? 리아님 안녕하세요.#그냥 이야기하고 있었습니다.,,
0,Marilyn,,저번 시합 힘들었지만 재밌었다고 말이에요.,,
0,Ria,,맞아요 상대의 공격 타이밍에 맞춰서 나오는 언니의 마인드컨트롤,,
0,Ria,ChangeFace,3,,
0,Ria,,정말 예술작품 같았어요!,,
0,Marilyn,,...그러네요 마치 소설의 한 장면 같았죠.,,
0,,StopBGM,,,
0,,SetTalkWindowActiveFalse,,,
0,,FadeOut,0.5,,
0,,SetTimer,0.75,,
0,,RemoveTalker,0,,
0,,RemoveTalker,1,,
0,,RemoveTalker,2,,
0,,FadeIn,0.5,,
0,,ChangeBGM,Daily,,
0,,StartBGM,,,
0,Manager,AddTalker,1,,
0,Manager,ChangeFace,3,,
0,Manager,,리그 데뷔전 승리를 축하해! ,,
0,Manager,,기대보다 더 잘해줘서 너무 만족스러웠어.,,
0,Manager,,다음 경기는 4일 후 우리 홈 경기장에서 펼쳐져,,
0,Manager,,그때까지 열심히 준비해서 다음 경기도 승리하자!,,
0,,GoHomeScene,,,end
